title,imgURL,priceStr,price,beds
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
STUDENTS! Furnished Studio Rentals Minutes from Douglas College!,https://i.ebayimg.com/00/s/ODAyWDEyMDA=/z/VQcAAOSwYpxeF4qi/$_35.JPG,"$1,648.00",1648,Bachelor/Studio
"APARMENT IN RENT, ONE BEDROOM! DOWNTOWN, FULL FURNISHED!!",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/LLoAAOSwYOxd-7Mz/$_35.JPG,"$1,900.00",1900,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
Modern 2 bedroom 1 bath apartments in New Westminster!,https://i.ebayimg.com/00/s/Mzk2WDQ5Nw==/z/rxgAAOSwccFdTtmp/$_35.JPG,"$2,115.00",2115,2
Olympic Village 1 bedroom plus Den,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/5mIAAOSwHMleE8nF/$_35.JPG,"$2,400.00",2400,1 + Den
"Females only, 1 room available in a 2 br apt in Kitsilano",https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/0ewAAOSwi~deE6G8/$_35.JPG,"$1,172.00",1172,2
"Well managed 1 bedroom at Harbourview available on February 01,",https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/iaMAAOSw-0BeE5MP/$_35.JPG,"$1,850.00",1850,1
1 BEDROOM APT- NEAR TRANSIT & SHOPS-RICHMOND-CAMELLIA,https://i.ebayimg.com/00/s/NTM3WDgwMA==/z/fK8AAOSwFOleE5RH/$_35.JPG,"$1,475.00",1475,1
2 BEDROOM APT- NEAR TRANSIT & SHOPS-RICHMOND-CAMELLIA,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/8vcAAOSwhiJeE5MX/$_35.JPG,"$1,950.00",1950,2
Top Floor 2 Bedroom River View Apartment,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UGYAAOSwg~ReE5K2/$_35.JPG,"$2,000.00",2000,2
"MOVE IN TODAY - STUDIO, ONE AND TWO BEDROOM SUITES",https://i.ebayimg.com/00/s/OTAwWDExMDk=/z/nZAAAOSwdxddPDs7/$_35.JPG,"$2,220.00",2220,1
Downtown Furnished Bachelor Apartment for Rent - February 1st,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/MSYAAOSwLfxeElK9/$_35.JPG,"$1,800.00",1800,Bachelor/Studio
"Kitsilano, Concrete Bldg, Balcony, Hardwood Flrs, Bright & Sunny",https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/7F4AAOSw-c9eEnjr/$_35.JPG,"$1,825.00",1825,1
"Burnaby Metrotown 1 Bed Suite for Rent, 一室一廳加书房高層公寓",https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Ed0AAOSw6-5eEmgV/$_35.JPG,"$1,950.00",1950,1 + Den
"Yaletown Luxury Furnished 2 Bedroom, 2 Bath, Den, Parking",https://i.ebayimg.com/00/s/NDgwWDgwMA==/z/mBEAAOSwnxxeEmX0/$_35.JPG,"$3,600.00",3600,2
1 BEDROOM FURNISHED VIEW APARTMENT AT UBC’s Gate,https://i.ebayimg.com/00/s/MzYxWDQ4MA==/z/w1YAAOSwszVeElwt/$_35.JPG,"$2,000.00",2000,1
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
STUDENTS! Furnished Studio Rentals Minutes from Douglas College!,https://i.ebayimg.com/00/s/ODAyWDEyMDA=/z/VQcAAOSwYpxeF4qi/$_35.JPG,"$1,648.00",1648,Bachelor/Studio
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
Two Months Free Rent! Call Now! Townhome for Rent!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/ZdAAAOSwBGRdxc7D/$_35.JPG,"$3,814.00",3814,3
Two Bedrooms apartment near Cook & Garden City (Richmond),https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/P7gAAOSwjSpeFNoj/$_35.JPG,"$1,900.00",1900,2
Newly Renovated Executive Suite - Downtown Penthouse with View,https://i.ebayimg.com/00/s/NDA4WDgwMA==/z/92QAAOSwnHZYkt3W/$_35.JPG,"$2,000.00",2000,1 + Den
Luxury 2 Bed 1 Bath Corner Unit at Metro Area with A/C,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/sOMAAOSwWEdeFQx~/$_35.JPG,"$2,450.00",2450,2
Extra Spacious 2 bed 2 bath with River and Mountain Views,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/6SYAAOSws-xeFQqp/$_35.JPG,"$2,300.00",2300,2
DOWNTOWN APARTMENT WITH BEAUTIFUL VIEW!(안녕하,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/7vIAAOSwzjxeFPDB/$_35.JPG,"$2,100.00",2100,1 + Den
Furnished 1 Bdrm + Den -Penthouse Living with Views @ COSMO,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/iZoAAOSwIW9eFOl2/$_35.JPG,"$2,495.00",2495,1 + Den
Large 1 BDRM + DEN Apartment – PARKING INCLUDED - fully renovate,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/R2IAAOSw3fFeFOQJ/$_35.JPG,"$2,100.00",2100,1 + Den
Two Bedrooms apartment near Cook & Garden City (Richmond),https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/P7gAAOSwjSpeFNoj/$_35.JPG,"$1,900.00",1900,2
SUSSEX SQUARE - GREAT LOCATION - 2 BEDROOM  $1550  LINDSAY ROAD,https://i.ebayimg.com/00/s/MzAwWDQ1Mg==/z/kP0AAOSwn~td3BBc/$_35.JPG,"$1,550.00",1550,2
3 Bed - 2 Bath Corner suite at SFU,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/kOYAAOSw1UpeFLKJ/$_35.JPG,"$2,900.00",2900,3
NEW 1 Bedroom Furnished  Luxury Condo for Rent  - $1788 p,https://i.ebayimg.com/00/s/NDUzWDgwMA==/z/5LwAAOSwyVdeFNNX/$_35.JPG,"$1,788.00",1788,1
Stunning 1 bedroom apartments in North Van with amazing views!,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ZLMAAOSwjP9eFEsd/$_35.JPG,"$1,900.00",1900,1
2 Bedroom 1 Bathroom Joyce Station,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/tlUAAOSwRg9eFBlS/$_35.JPG,"$2,000.00",2000,2
"Modern Furnished 1 Bedroom Apartment Downtown Vancouver, Views",https://i.ebayimg.com/00/s/NDI2WDgwMA==/z/REgAAOSwAfheFEen/$_35.JPG,"$2,595.00",2595,1
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
Renovated 3 Bedroom Townhome for Rent - PET FRIENDLY!,https://i.ebayimg.com/00/s/MTA2MFgxNjAw/z/Y0YAAOSwqUld~PSl/$_35.JPG,"$3,774.00",3774,3
NEW 1 Bedroom Furnished  Luxury Condo for Rent  - $1788 p,https://i.ebayimg.com/00/s/NDUzWDgwMA==/z/5LwAAOSwyVdeFNNX/$_35.JPG,"$1,788.00",1788,1
One Bedroom Westend,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/G4gAAOSwUGFeFjx8/$_35.JPG,"$1,880.00",1880,1
Yaletown Living! Fully Furnished 2 Bed 2 Bath at Mondrian 2!,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/aSgAAOSw8o1eFjao/$_35.JPG,"$4,500.00",4500,2 + Den
"UBC 2 Bedrooms, 2 baths",https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/uJYAAOSw54NeFi~Z/$_35.JPG,"$3,200.00",3200,2
1 BR Modern Renovation Minutes From Downtown,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/1RcAAOSwFCheFghr/$_35.JPG,"$2,000.00",2000,1
Studio For Rent at Vista - 820 6th Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/N3QAAOSwuuVdxoGv/$_35.JPG,"$1,609.00",1609,Bachelor/Studio
Upgraded Three Bedroom For Rent at Southview Gardens - 3240 ...,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/xrcAAOSw4fhdvIJx/$_35.JPG,"$2,595.00",2595,3
Two Bedroom/Two Bathroom For Rent at Forte - 1755 West 14th...,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/AOgAAOSws-xdwo1C/$_35.JPG,"$2,970.00",2970,2
One Bedroom For Rent at Forte - 1755 West 14th Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/PioAAOSw7aBeD58L/$_35.JPG,"$2,350.00",2350,1
Upgraded One Bedroom For Rent at Forte - 1755 West 14th Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/lRYAAOSwS89dwo1C/$_35.JPG,"$2,050.00",2050,1
Studio For Rent at False Creek Residences - 75 West 1st Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTE=/z/J5kAAOSwSkpd344I/$_35.JPG,"$1,991.00",1991,Bachelor/Studio
Two Bedroom + Den For Rent at False Creek Residences - 75...,https://i.ebayimg.com/00/s/NzY4WDExNTE=/z/U0oAAOSwsbhdt~MT/$_35.JPG,"$3,217.00",3217,2
Townhouse For Rent at False Creek Residences - 75 West 1st...,https://i.ebayimg.com/00/s/NzY4WDExNTE=/z/Mq0AAOSwXqpds~6I/$_35.JPG,"$3,972.00",3972,2
Two Bedroom For Rent at False Creek Residences - 75 West 1st...,https://i.ebayimg.com/00/s/NzY4WDExNTE=/z/9J0AAOSwP0Zd0vlS/$_35.JPG,"$3,211.00",3211,2
"Bachelor available at 11675 Seventh Avenue, Richmond",https://i.ebayimg.com/00/s/NzUwWDExMjU=/z/l30AAOSwrj9eFZ8d/$_35.JPG,"$1,340.00",1340,Bachelor/Studio
One Bedroom in the beautiful Downtown Westend,https://i.ebayimg.com/00/s/NDUwWDYwMA==/z/9twAAOSwg8FeFgM1/$_35.JPG,"$1,744.00",1744,1
STUDENTS! Furnished Studio Rentals Minutes from Douglas College!,https://i.ebayimg.com/00/s/ODAyWDEyMDA=/z/VQcAAOSwYpxeF4qi/$_35.JPG,"$1,648.00",1648,Bachelor/Studio
"APARMENT IN RENT, ONE BEDROOM! DOWNTOWN, FULL FURNISHED!!",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/LLoAAOSwYOxd-7Mz/$_35.JPG,"$1,900.00",1900,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
"Big, 2 Bedroom Yaletown Furnished",https://i.ebayimg.com/00/s/Mzg0WDYwMA==/z/HFsAAOSwCb9dAbOh/$_35.JPG,"$4,500.00",4500,2
Studio Rentals in New Westminster! Direct Access to SkyTrain!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/L4kAAOSwrTFeF4qk/$_35.JPG,"$1,603.00",1603,Bachelor/Studio
Cozy unit located in Metro Town,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/IE0AAOSwtPReF8Cn/$_35.JPG,"$1,825.00",1825,1
BRAND NEW 1-Bedroom Apartment Available For Rent!,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/g0UAAOSwrxpeF45i/$_35.JPG,"$2,000.00",2000,1
Condo in Yaletown,https://i.ebayimg.com/00/s/Mzg5WDgwMA==/z/GtIAAOSwV11dhYdL/$_35.JPG,"$2,798.00",2798,2
One bed room one bath with den balcony and parking +EV brand new,https://i.ebayimg.com/00/s/MzM3WDYwMA==/z/2MEAAOSwDyReF4kw/$_35.JPG,"$2,250.00",2250,1
Fully Furnished & Renovated 1BR + Den in Coal Harbour,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/5a8AAOSwUeVeF4Bn/$_35.JPG,"$2,700.00",2700,1 + Den
"APARMENT IN RENT, ONE BEDROOM! DOWNTOWN, FULL FURNISHED!!",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/LLoAAOSwYOxd-7Mz/$_35.JPG,"$1,900.00",1900,1
2 Bedroom PH Apartment for Rent - 5600 Dalhousie Road,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/nOAAAOSwCbJeGi5F/$_35.JPG,"$4,499.00",4499,2
2 Bedrooms Apartment for Rent - 5600 Dalhousie Road,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/EGYAAOSw1W9eGi5G/$_35.JPG,"$2,625.00",2625,2
One Bedroom For Rent at The Lex - 1249 Granville Street,https://i.ebayimg.com/00/s/NzY4WDExNTA=/z/WGgAAOSwsAteFu03/$_35.JPG,"$2,072.00",2072,1
Well managed 1 bedroom at English Bay Tower available on Februar,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/RqMAAOSwBq9eFuzu/$_35.JPG,"$1,780.00",1780,1
$1895 Furnished jr. 1 bedroom (all utilities / internet included,https://i.ebayimg.com/00/s/NTg4WDgwMA==/z/OLUAAOSwWWdeF0J7/$_35.JPG,"$1,895.00",1895,1
"1 Bed+1 Bath DT Apartment With Parking, Storage and Pets Allowed",https://i.ebayimg.com/00/s/ODAwWDYxNg==/z/HVIAAOSwIKVeFtoU/$_35.JPG,"$2,180.00",2180,1
1Bed 1 Bath 900 SF - NEW RENOVATED - Point Grey - 2 Stops To UBC,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/OiYAAOSwc2ZeFwu8/$_35.JPG,"$1,600.00",1600,1
Penthouse with A/C at Station Square- 2Bed and Den Unfurnished,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/iFAAAOSwW1NeFoa6/$_35.JPG,"$3,400.00",3400,2 + Den
Renovated 3 Bedroom Townhome for Rent - PET FRIENDLY!,https://i.ebayimg.com/00/s/MTA2MFgxNjAw/z/Y0YAAOSwqUld~PSl/$_35.JPG,"$3,774.00",3774,3
NEW 1 Bedroom Furnished  Luxury Condo for Rent  - $1788 p,https://i.ebayimg.com/00/s/NDUzWDgwMA==/z/5LwAAOSwyVdeFNNX/$_35.JPG,"$1,788.00",1788,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
Fully furnished 1 bedroom apartment at UBC,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/DpwAAOSwOhxeGMzD/$_35.JPG,"$1,950.00",1950,1
Bright and Modern 2-Level Loft with 17-Foot Ceilings,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dOgAAOSw7bZeGMQW/$_35.JPG,"$3,300.00",3300,1
Westsea Place  - (Westend)  Bachelor and 1  Bedroom Suites  from,https://i.ebayimg.com/00/s/MzAwWDE5NQ==/z/bsgAAOSwqNJba17M/$_35.JPG,"$1,380.00",1380,Bachelor/Studio
Large 1 Bedroom + Den incl. parking for Rent in Lower Lonsdale,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/hoYAAOSwwJ5eEm4v/$_35.JPG,"$2,000.00",2000,1 + Den
"Well managed 1 bedroom at Harbourview available on February 01,",https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/Oy8AAOSwE4heGD5t/$_35.JPG,"$1,850.00",1850,1
Large 4th Floor Studio/ 1 Bath Apartment in False Creek,https://i.ebayimg.com/00/s/MzE0WDgwMA==/z/N4kAAOSwovJeGJe1/$_35.JPG,"$1,600.00",1600,Bachelor/Studio
Large Garden level 1 Bed / 1 Bath Apartment in False Creek,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/a1cAAOSwPCFeGI5q/$_35.JPG,"$1,700.00",1700,1
1 Bedroom Apartment in Brentwood for Rent,https://i.ebayimg.com/00/s/MzUwWDgwMA==/z/x8kAAOSwomJeGCU0/$_35.JPG,"$1,900.00",1900,1
Sunny and spacious renovated top level 3 bedroom suite,https://i.ebayimg.com/00/s/ODAwWDUwMA==/z/R0oAAOSwYk5eGBxv/$_35.JPG,"$2,400.00",2400,3
$2100 / 1br - Beautiful Downtown-Studio-Furnished-Wall Centre,https://i.ebayimg.com/00/s/ODAwWDYyNQ==/z/3JsAAOSwVTpeGA51/$_35.JPG,"$2,100.00",2100,1
2br - 845ft2 - Brand new Modern 2 bedroom (North Vancouver),https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/L2QAAOSwCOheF8PX/$_35.JPG,"$2,600.00",2600,2
*BRAND NEW* 2 BEDROOM (3 OPTIONAL) EXTRA LARGE LANEWAY FOR RENT,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/I-EAAOSwfiNeF-7M/$_35.JPG,"$2,000.00",2000,2
Large 1 bed/1bath + 2 dens & huge patio condo in Kits,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/vYQAAOSwm8ZeF8SR/$_35.JPG,"$2,300.00",2300,1 + Den
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
"APARMENT IN RENT, ONE BEDROOM! DOWNTOWN, FULL FURNISHED!!",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/LLoAAOSwYOxd-7Mz/$_35.JPG,"$1,900.00",1900,1
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
Studio Rentals in New Westminster! Direct Access to SkyTrain!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/L4kAAOSwrTFeF4qk/$_35.JPG,"$1,603.00",1603,Bachelor/Studio
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
"IMMEDIATE MOVE IN - STUDIO, 1 AND 2 BEDROOM FLOOR PLANS",https://i.ebayimg.com/00/s/ODAxWDEyMDA=/z/tKcAAOSwpKtdPDs7/$_35.JPG,"$3,015.00",3015,2
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
ENGLISH BAY - Beautiful Studio-Like Suite  Available FEB 1st!!,https://i.ebayimg.com/00/s/NTUxWDU5OA==/z/izYAAOSwN~VeD8IH/$_35.JPG,$750.00,750,1
"Large 1bdr apt for February 1st, near UBC.",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/E3QAAOSwndFeGiO1/$_35.JPG,"$1,875.00",1875,1
DETACHED LANEWAY HOUSE near UBC Dunbar Kitsilano Point Grey,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/3BUAAOSwgZteGh5k/$_35.JPG,"$2,200.00",2200,1
"Well managed 2 bedrooms at Bay Tower available on February 01, 2",https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/GP0AAOSwGF5eGY~d/$_35.JPG,"$2,400.00",2400,2
$1900 / 1br - 650ft2 - TOP FLOOR VERY WELL MAINTAINED,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/-LgAAOSwRBFeGeOs/$_35.JPG,"$1,900.00",1900,1 + Den
Brand New 1 bedroom apartment at Novare in New Westminster!,https://i.ebayimg.com/00/s/Mzk4WDUwMQ==/z/dEUAAOSwerBdSTWH/$_35.JPG,"$1,695.00",1695,1
Stunning 2 bedroom suites at Lynn Creek!,https://i.ebayimg.com/00/s/MzQzWDUyNw==/z/cOkAAOSw6CxdNgnV/$_35.JPG,"$2,280.00",2280,2
Modern 2 bedroom 1 bath apartments in New Westminster!,https://i.ebayimg.com/00/s/NjM4WDExNDA=/z/Aj0AAOSwo5ddTtsU/$_35.JPG,"$2,115.00",2115,2
Gorgeous one Bedroom with view on the border of Yaletown and Gas,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/LAIAAOSwqMteGWY-/$_35.JPG,"$1,725.00",1725,1
2 bed 2 bath beside metrotown in new building,https://i.ebayimg.com/00/s/NDg0WDgwMA==/z/KTcAAOSwMmJeGmAR/$_35.JPG,"$2,600.00",2600,2
1 Bedroom +den fully furnished Vancouver downtown,https://i.ebayimg.com/00/s/MjY3WDQwMA==/z/R~EAAOSw9-JeGW9P/$_35.JPG,"$1,850.00",1850,1 + Den
Upgraded One Bedroom For Rent at Forte - 1755 West 14th Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/lRYAAOSwS89dwo1C/$_35.JPG,"$2,050.00",2050,1
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
"1 Bdrm apt with large Patio, insuite laundry at Cambie/Broadway",https://i.ebayimg.com/00/s/NDUwWDYwMA==/z/j5kAAOSwkxteGm7m/$_35.JPG,"$1,845.00",1845,1
STUDENTS! Furnished Studio Rentals Minutes from Douglas College!,https://i.ebayimg.com/00/s/ODAyWDEyMDA=/z/VQcAAOSwYpxeF4qi/$_35.JPG,"$1,648.00",1648,Bachelor/Studio
Studio Rentals in New Westminster! Direct Access to SkyTrain!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/L4kAAOSwrTFeF4qk/$_35.JPG,"$1,603.00",1603,Bachelor/Studio
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
Stunning 2 bedroom in North Vancouver at The Citadel,https://i.ebayimg.com/00/s/NjY0WDk5Ng==/z/pjsAAOSw2zRcAWeR/$_35.JPG,"$2,300.00",2300,2
Spacious Bright Two Bedroom-English Bay (Cat or Dog),https://i.ebayimg.com/00/s/MTA3MVgxNjAw/z/e3QAAOSwbv9d-z6e/$_35.JPG,"$2,800.00",2800,2
1 bedroom apartment in Metrotown at Horizon Towers,https://i.ebayimg.com/00/s/MzA0WDQwMA==/z/RZQAAOSwUeBdjxPU/$_35.JPG,"$1,660.00",1660,1
Pet-friendly Jr. One Bedroom Suite-$500 Moving Bonus,https://i.ebayimg.com/00/s/MTA3MVgxNjAw/z/3scAAOSwwRRd-z6b/$_35.JPG,"$1,775.00",1775,1
2 bed 2 bath beside metrotown in new building,https://i.ebayimg.com/00/s/NDg0WDgwMA==/z/KTcAAOSwMmJeGmAR/$_35.JPG,"$2,600.00",2600,2
"IMMEDIATE MOVE IN - STUDIO, 1 AND 2 BEDROOM FLOOR PLANS",https://i.ebayimg.com/00/s/ODAxWDEyMDA=/z/tKcAAOSwpKtdPDs7/$_35.JPG,"$3,015.00",3015,2
ENGLISH BAY - Beautiful Studio-Like Suite  Available FEB 1st!!,https://i.ebayimg.com/00/s/NTUxWDU5OA==/z/izYAAOSwN~VeD8IH/$_35.JPG,$750.00,750,1
FURNISHED 2 BDRM - CENTRAL & EASY COMMUTE,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/LwgAAOSwQjheGkw5/$_35.JPG,"$1,995.00",1995,2
English Bay area,https://i.ebayimg.com/00/s/ODAwWDM4OA==/z/g1AAAOSwEUdeGkH-/$_35.JPG,"$2,099.00",2099,2
